id,longitude,latitude
1383,-104.98853,39.75392
1384,-104.97925,39.77033
1385,-105.11772,39.68136
1392,-105.6973,39.70577
1396,-106.92704,38.54462
1397,-104.93576,40.47999
1398,-106.09354,39.57663
1399,-105.04506,39.75823
1403,-107.87131,38.48272
1407,-105.04776,40.05162
1409,-104.82238,38.82803
1413,-106.9853,38.86696
1414,-104.97919,39.78
1415,-108.5702,37.34878
1416,-104.99137,39.75225
1419,-105.038,40.56205
1420,-105.05349,39.75312
1421,-108.55226,39.08514
1424,-105.06404,39.85901
1425,-105.05934,39.79099
1426,-107.31913,38.02729
1428,-105.31369,39.63935
1429,-104.79113,39.6853
1430,-105.11684,40.15869
1432,-105.02436,39.74741
1434,-104.82039,38.82872
1436,-104.89421,39.56299
1437,-104.92834,39.75818
1438,-104.78236,38.90827
1440,-105.07697,40.39541
1443,-105.50366,40.36716
1444,-105.47744,39.40651
1445,-106.83069,40.48389
1446,-108.58466,37.34842
1448,-104.91574,38.85699
1451,-104.96779,40.4387
1452,-105.07975,40.55059
1453,-105.11518,40.5738
1455,-105.21959,39.7595
1456,-104.97973,39.77124
1457,-105.99316,38.53502
1458,-104.95826,39.91402
1459,-104.93698,40.09855
1460,-105.27523,40.01901
1461,-106.83551,40.4853
1462,-105.22426,39.75808
1464,-105.94157,40.08557
1466,-105.06784,40.59336
1467,-105.08246,39.79938
1469,-105.1851,39.77782
1470,-104.99232,39.71847
1472,-105.08788,39.99836
1474,-105.06333,40.58952
1475,-104.98101,39.76214
1479,-105.26769,40.22451
1481,-104.98256,39.76058
1482,-107.67129,38.02291
1483,-107.6714,38.02402
1485,-106.09893,39.58926
1488,-108.35426,39.1111
1489,-107.5977,38.86899
1490,-105.15505,38.94441
1492,-104.70842,38.3164
1493,-104.83662,39.67505
1494,-104.85053,39.74022
1496,-104.7146,38.88966
1497,-106.29178,39.24964
1498,-104.96195,39.8994
1499,-104.82493,38.83424
1501,-104.79155,39.63993
1502,-104.99085,39.73702
1503,-105.0974,40.55307
1504,-104.9806,39.68267
1506,-105.00678,39.76136
1508,-106.04676,39.62833
1509,-105.1021,40.16876
1512,-105.07503,39.90849
1516,-104.98122,39.76151
1518,-107.67162,38.02071
1520,-105.05849,40.58917
1521,-105.11388,39.96745
1522,-104.99926,39.71831
1523,-104.99926,39.71831
1526,-107.00815,37.26874
1530,-104.99038,40.41811
1531,-104.71819,38.88119
1537,-105.52321,40.37238
1538,-108.56592,39.06701
1540,-104.78593,40.38789
1541,-104.87234,39.40962
1542,-105.24181,38.44011
1544,-105.02458,39.61259
1545,-105.87429,37.46818
1547,-105.03485,39.74025
1548,-104.60786,38.26965
1549,-105.19634,39.74437
1552,-105.01677,39.7238
1554,-107.81143,37.9358
1562,-104.97704,39.75522
1563,-105.08417,39.80233
1564,-105.87429,37.46818
1566,-104.90626,39.76935
1567,-107.87979,37.27218
1568,-105.23783,40.02381
1574,-108.73269,39.15916
1577,-106.0672,39.62976
1579,-104.98772,39.65417
1580,-105.04327,39.77644
1581,-104.99939,39.72914
