id,name,brewery_type
491,Coastal Star Brewing Company,planning
492,Cold Water Brewery and Grill,brewpub
493,Common Space Brewery,micro
494,Congregation Ales,micro
495,Constellation Brands,large
496,Converge Brewing Company,planning
497,Cool Beerwerks,brewpub
498,Cooperage Brewing Co.,micro
499,Coronado Brewing Co,regional
500,Coronado Brewing Co - Production Facility,regional
501,Corralitos Brewing Co,micro
502,Cosmic Brewery,micro
503,Council Brewing - Magic Factory,micro
504,Council Brewing Company,micro
505,Council Brewing Company,micro
506,Craft Artisan Ales,contract
507,Craft Brewing Company,micro
508,Craftsman Brewing Co,micro
509,Crooked Goat Brewing,micro
510,Crooked Lane Brewing Co,micro
511,Culture Brewing Co,micro
512,Culver Beer Company,micro
513,Danville Brewing Company,brewpub
514,Dark Sea Cinema And Brewery,planning
515,Dead Oak Brewing Company,micro
516,Deans Brothers Brewing Co.,micro
517,Death Valley Brewing,micro
518,Deft Brewing,micro
519,Del Cielo Brewing Co.,micro
520,Delicious Science Brewing,micro
521,Dempsey's Restaurant And Brewery,brewpub
522,Desert Barn Brewing Co.,brewpub
523,Device Brewing Company,micro
524,Devil's Canyon Brewing Company,micro
525,Devil's Potion Brewing Company LLC,planning
526,Dfamle Enterprises LP (DBA Four Sons Brewing),micro
527,Diamond Mountain Brewery,brewpub
528,Dionysus Brewing Co.,micro
529,Discretion Brewing,micro
530,Diving Dog Brewhouse,micro
531,Division 23 Brewing,micro
532,Docent Brewing,brewpub
533,Dos Desperados Brewery,micro
534,Double Peak Brewing Company,planning
535,Downtown Joes Brewery and Restaurant,brewpub
536,Dr Hops Kombucha Beer,planning
537,Dr Jekyll's Craft Beer,contract
538,Dragon's Tale Brewery,micro
539,Drake's Brewing Co,regional
540,Draughtsman Brewery,planning
541,Draughtsmen Aleworks,micro
542,Dreaming Dog Brewery,micro
543,Dry River Brewing,micro
544,Duck Foot Brewing Co.,micro
545,Dudes' Brewing Co,micro
546,Dueling Dogs Brewing Company,planning
547,Dunbar Brewing,micro
548,Dunloe Brewing LLC,micro
549,Dunsmuir Brewery Works,brewpub
550,Dust Bowl Brewing Co,micro
551,Dutch's BrewHouse,brewpub
552,E.J. Phair Brewing Co,micro
553,E.J. Phair Brewing Co.,micro
554,Eagle Rock Brewery,micro
555,Earth And Fire Brewing Company,micro
556,East Brother Beer Company,micro
557,East Cliff Brewing Company,micro
558,Ebullition Brew Works,micro
559,Eckert Malting and Brewing Co,micro
560,Eel River Brewing Co,micro
561,Eel River Brewing Co - Facility and Warehouse,micro
562,Eight Bridges Brewing,micro
563,Einstok Beer Company,contract
564,El Dorado Brewing Co,micro
565,El Segundo Brewing Co,micro
566,El Toro Brewing Company Brewpub,brewpub
567,Electric Brewing Co,micro
568,Elevation 66 Brewing Co,brewpub
569,Elkhorn Slough Brewing Company,micro
570,Enegren Brewing Co,micro
571,English Ales Brewery,micro
572,Epidemic Ales,micro
573,Eppig Brewing,micro
574,Escape Craft Brewery,micro
575,Escondido Brewing Company,micro
576,Etna Brewing Co LLC,micro
577,Euryale Brewing Company,micro
578,Evans Brewing Co / Bayhawk Ales,micro
579,Faction Brewing Co,micro
580,Fair Oaks Brew Pub,brewpub
581,Fall Brewing Company,micro
582,Fall River Brewing Company,micro
583,Fallbrook Brewing Co,micro
584,Falls Canyon Brewing Co.,planning
585,Farmers Brewing Co,planning
586,Faultline Brewing Co,brewpub
587,Feather Falls Brewing Co,brewpub
588,Feather River Brewing Co,micro
589,Feathered Serpent Brewery,planning
590,Federation Brewing,micro
591,Ferment.Drink.Repeat,micro
592,Fieldwork Brewing Co,regional
593,FiftyFifty Brewing Co,brewpub
594,FiftyFifty Brewing Production Facility,micro
595,Figueroa Mountain Brewing,regional
596,Figueroa Mountain Brewing - Arroyo Grande,brewpub
597,Figueroa Mountain Brewing - Santa Barbara,micro
598,Figueroa Mountain Brewing - Westlake Village,micro
599,Final Draft Brewing Company,brewpub
600,Firehouse Grill & Brewery,brewpub
601,Fireman's Brew,contract
602,Firestone Walker Barrelworks,micro
603,Firestone Walker Brewing Co,regional
604,Firestone Walker Brewing Co,brewpub
605,First Water Brewing Company,planning
606,Five Suns Brewing,micro
607,Five Threads Brewing Company,micro
608,Five Window Beer Co,micro
609,Flat Fish Brewing,micro
610,Flatland Brewing Company,micro
611,Fogbelt Brewing Co,brewpub
612,Fort Point Beer Company,regional
613,Fort Rock Brewing,micro
614,Fossil Fuels Brewing Co,contract
615,Fountainhead Brewing Co,micro
616,Four Sons Brewing,micro
617,FreeWheel Brewing Co,brewpub
618,Frogtown Brewery,micro
619,Full Circle Brewing Co,micro
620,"G8 Development, Inc.",planning
621,Garage Brewing Company,micro
622,GBC,micro
623,Geartooth AleWerks,micro
624,Ghost Town Brewing,micro
625,Gilman Brewing Company,micro
626,Globier,planning
627,GoatHouse Brewing Co.,micro
628,Gold Hill Brewery,micro
629,Golden Road Brewing,large
630,Golden Road Brewing,large
631,Golden Road Brewing Co,planning
632,Golden State Brew and Grill,brewpub
633,Golden State Brewery,micro
634,Gordon Biersch Brewery Restaurant - Burbank,brewpub
635,Gordon Biersch Brewery Restaurant - San Diego,brewpub
636,Gordon Biersch Brewing Co,regional
637,GravSouth Brewing Co.,brewpub
638,Great Beer Co,contract
639,Great Change Brewing,planning
640,Green Cheek Beer Company,micro
641,Green Flash Brewing Co,regional
642,Greywolf Brewing,planning
643,Gridlock Brewing Co,contract
644,Grillin & Chillin Alehouse,brewpub
645,Groundswell Brewing Co,micro
646,Guadalupe Brewery,micro
647,Gunwhale Ales,micro
648,Gyppo Ale Mill,micro
649,H2OPS LLC,planning
650,Half Door Brewing Company,brewpub
651,Half Moon Bay Brewing Co,brewpub
652,Hamilton Family Brewery,micro
653,Hand-Brewed Beer,micro
654,Hangar 24 Craft Brewery,regional
655,Hapa's Brewing Company,micro
656,Hardwood Bar and Smokery,brewpub
657,Hare In the Forest,micro
658,Harmonic Brewing,micro
659,Headlands Brewing Company,proprietor
660,Helix Brewing Co,micro
661,Hello Brew Co.,planning
662,"Helm's Brewing Company, LLC",micro
663,HenHouse Brewing,micro
664,Henhouse Brewing Company Palace of Barrels,micro
665,Henson Brewing,micro
666,Heretic Brewing Company,micro
667,Hermitage Brewing Company,regional
668,Heroes Restaurant and Brewery,brewpub
669,High Water Brewing,proprietor
670,Highland Park Brewery,micro
671,Highland Park Brewery,brewpub
672,Highway 1 Brewing Company,brewpub
673,Hillcrest Brewing Company,brewpub
674,Hodad's Brewing Company,planning
675,Hoi Polloi Brewpub and Beat Lounge,micro
676,Hollister Brewing Co,brewpub
677,Holy Craft Brewing Co,contract
678,Homage Brewing,micro
679,Home Brewing Co.,micro
680,Hop Creek Pub,brewpub
681,Hop Dogma Brewing Company,micro
682,Hop Secret Brewing Co,micro
683,Hoparazzi Brewing Co,micro
684,Hoppy Brewing Co,brewpub
685,HopSaint Brewing Company,brewpub
686,Horus Aged Ales,micro
687,House Beer,proprietor
688,House Of Pendragon Brewing Co,micro
